product_title,brand,price,currency,prereduction,discount
Youth 530,New Balance,52.25,BHD,,
Kids Breakbase,Adidas,18.9,BHD,22.66,-17%
Kids Copa Pure Iv League Tf,Adidas,17.99,BHD,30.24,-41%
Tensaur Switch Shoes Kids,Adidas,15.6,BHD,20.49,-24%
Kids Handball Spezial,adidas Originals,20.38,BHD,30.24,-33%
Youth 408,New Balance,21.97,BHD,27.00,-19%
Youth Copa Pure IV Club IN,Adidas,13.78,BHD,22.66,-40%
Kids Campus 00S C,adidas Originals,20.95,BHD,35.67,-42%
Youth Gel-Nyc Gs,asics,49.51,BHD,52.36,-6%
Kids Samba Og,adidas Originals,32.9,BHD,,
Youth Handball Spezial,adidas Originals,30.62,BHD,46.50,-35%
Youth Runfalcon 5,Adidas,18.78,BHD,24.83,-25%
Kids Runfalcon 5 El,Adidas,16.39,BHD,21.57,-25%
Kids Chuck Taylor All Star,CONVERSE,14.57,BHD,27.00,-47%
Youth Gazelle,adidas Originals,12.63,BHD,43.26,-71%
AIR MAX 270 BG,Nike,28,BHD,67.75,-59%
Youth Tensaur Run 3.0,Adidas,11.95,BHD,22.66,-48%
Nike Jr. Tiempo Legend 10 Academy,Nike,10.02,BHD,35.67,-72%
Air Jordan 1 Mid,Jordan,37.34,BHD,57.35,-35%
Kids Chuck Taylor All Star,CONVERSE,11.5,BHD,19.41,-41%
Youth Softride Cosmic Street Sliptech,PUMA,15.82,BHD,29.16,-46%
Kids Club Ii Era,PUMA,17.76,BHD,28.08,-37%
Infant Samba Og Cf El,adidas Originals,22.42,BHD,30.24,-26%
Youth Deportivo III TF,Adidas,13.78,BHD,18.32,-25%
Infant Samba Og Cf El,adidas Originals,21.4,BHD,25.91,-18%
NIKE STAR RUNNER 5 GS,Nike,35.17,BHD,,
Youth Rickie,PUMA,19.58,BHD,21.57,-10%
Tensaur Comfort Shoes Kids,Adidas,23.79,BHD,,
Youth Gel-Nyc Gs,asics,42.46,BHD,48.78,-13%
Infant Vl Court 3.0 Cf,Adidas,23.11,BHD,24.93,-8%
Kids Bounder,SKECHERS,12.07,BHD,16.48,-27%
Kids Handball Spezial,adidas Originals,35.17,BHD,,
Youth Gs Jet '25,UNDER ARMOUR,21.74,BHD,32.41,-33%
Kids Runfalcon 5 El,Adidas,16.39,BHD,21.57,-25%
Kids Chuck Taylor All Star,CONVERSE,14.57,BHD,27.00,-47%
Youth Gazelle,adidas Originals,28.69,BHD,43.26,-34%
Kids Go Run 400 V2,SKECHERS,18.44,BHD,,
Kids Duramo Sl2 El C,Adidas,18.9,BHD,22.66,-17%
Kids Grand Court Spider-Man,Adidas,20.26,BHD,28.08,-28%
Kids Barreda Decode Elsa,Adidas,20.26,BHD,27.00,-25%
Kids Duramo Sl2 El,Adidas,17.87,BHD,22.66,-22%
Kids Club Ii Era V Ps,PUMA,15.25,BHD,25.91,-42%
Youth Grand Court 3.0,Adidas,16.39,BHD,22.66,-28%
Infant Duramo Sl2 El,Adidas,17.64,BHD,20.49,-14%
Infant Grand Court Mickey,Adidas,16.74,BHD,22.66,-27%
Kids Tensaur Comfort Ac,Adidas,15.94,BHD,21.57,-27%
AIR MAX 270 BG,Nike,28,BHD,67.75,-59%
Infant Runfalcon 5 El,Adidas,17.64,BHD,19.41,-10%
Kids Tensaur Comfort Ac,Adidas,16.39,BHD,21.57,-25%
Youth Runfalcon 5,Adidas,17.76,BHD,24.83,-29%
Kids Bounder,SKECHERS,14,BHD,16.48,-16%
Kids All-Day Active Ac+ Ps,PUMA,11.38,BHD,20.49,-45%
Kids Duramo Sl2 El,Adidas,17.07,BHD,22.66,-25%
Youth Tensaur Run 3.0,Adidas,11.95,BHD,22.66,-48%
Youth Rickie,PUMA,13.32,BHD,21.57,-39%
Infant Samba Crib,adidas Originals,14.68,BHD,20.49,-29%
Nike Jr. Tiempo Legend 10 Academy,Nike,10.02,BHD,35.67,-72%
Infant Adilette Estrap Buz,Adidas,11.16,BHD,13.98,-21%
Kids Adifom Samba 360 C,adidas Originals,27.43,BHD,35.67,-24%
Infant Vl Court 3.0 Cf,Adidas,23.68,BHD,24.83,-5%
Infant Vl Court 3.0 Cf,Adidas,17.07,BHD,22.66,-25%
