School,Private,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Outstate,Room.Board,Books,Personal,PhD,Terminal,S.F.Ratio,perc.alumni,Expend,Grad.Rate,Apps_trans,Accept_trans,Enroll_trans,Top10perc_trans,F.Undergrad_trans,P.Undergrad_trans,Outstate_trans,Books_trans,Personal_trans,PhD_trans,Terminal_trans,S.F.Ratio_trans,perc.alumni_trans,Expend_trans,Accept_Rate,Outstate_Tier,Outstate_Tier_ordinal,Private_binary,Apps_trans_scaled,Accept_trans_scaled,Enroll_trans_scaled,Top10perc_trans_scaled,F.Undergrad_trans_scaled,P.Undergrad_trans_scaled,Outstate_trans_scaled,Books_trans_scaled,Personal_trans_scaled,PhD_trans_scaled,Terminal_trans_scaled,S.F.Ratio_trans_scaled,perc.alumni_trans_scaled,Expend_trans_scaled,Accept_Rate_scaled,Outstate_Tier_ordinal_scaled,Private_binary_scaled
Abilene Christian University,Yes,1660,1232,721,23,52,2885,537,7440,3300,450,2200,70.0,78,18.1,12,7041,60,0.0277941705422539,0.04102778860141249,0.4933747902665227,-0.05311907203067916,0.4335994064806926,0.3001555111149258,-0.6934490715406573,-0.6142542982610626,1.271398499406051,-0.29078845475452025,-0.28237352323745246,1.0179463816947247,2.5649493574615367,-0.4911826984337565,0.7421686746987952,Medium,1,1,0.027794170542254505,0.04102778860141358,0.4933747902665214,-0.05311907203067917,0.4335994064806932,0.300155511114926,-0.6934490715406576,-0.6142542982610609,1.2713984994060503,-0.2907884547545203,-0.2823735232374524,1.0179463816947254,-0.7227012651918747,-0.4911826984337968,-0.032372339112454566,0.001818927581047415,0.6125530498969481
Adelphi University,Yes,2186,1924,512,16,29,2683,1227,12280,6450,750,1500,29.0,30,12.2,16,10527,56,0.2829202044206763,0.48582101160173247,0.14221363782557503,-0.5849046607537626,0.3653816194056265,0.8682389489526615,0.5562683365380878,1.302364976162053,0.45655088685874945,-2.1792584156981274,-2.2481293668347866,-0.43508339754859443,2.833213344056216,0.5523622369819016,0.8801463860933212,Medium,1,1,0.2829202044206769,0.4858210116017336,0.14221363782557378,-0.5849046607537627,0.3653816194056271,0.8682389489526617,0.5562683365380875,1.3023649761620546,0.45655088685874884,-2.1792584156981274,-2.2481293668347866,-0.4350833975485938,-0.28448920152158647,0.5523622369818613,0.9061926295687938,0.001818927581047415,0.6125530498969481
Adrian College,Yes,1428,1097,336,22,50,1036,99,11250,3750,400,1165,53.0,66,12.9,30,8735,54,-0.11391602631457266,-0.07704594401713064,-0.31597748127060915,-0.12094221917214973,-0.6367744332943975,-0.7272538841097257,0.32201070401890103,-1.0385747644412713,-0.0686551430120969,-1.2621836217050806,-1.0407110988557453,-0.250216479237428,3.4339872044851463,0.09639280596058714,0.7682072829131653,Medium,1,1,-0.11391602631457207,-0.07704594401712957,-0.3159774812706104,-0.12094221917214976,-0.636774433294397,-0.7272538841097255,0.32201070401890075,-1.0385747644412697,-0.06865514301209752,-1.2621836217050806,-1.0407110988557453,-0.2502164792374274,0.696881263144984,0.09639280596054683,0.14474993126166572,0.001818927581047415,0.6125530498969481
Agnes Scott College,Yes,417,349,137,60,89,510,63,12960,5450,450,875,92.0,97,7.7,37,19016,59,-1.3327694509817885,-1.2944460595624296,-1.3963882427162337,1.6144757210802627,-1.5312067984905093,-0.9740319705249556,0.7039260224445798,-0.6142542982610626,-0.6517337337792259,1.3613470368188663,1.3645882269351624,-1.7418718980861345,3.6375861597263857,1.7269972924922858,0.8369304556354916,High,2,1,-1.3327694509817878,-1.2944460595624288,-1.396388242716235,1.614475721080263,-1.531206798490509,-0.9740319705249554,0.7039260224445795,-0.6142542982610609,-0.6517337337792266,1.3613470368188663,1.3645882269351624,-1.7418718980861339,1.0294623131395182,1.7269972924922454,0.6122251618760879,1.4151256580548508,0.6125530498969481
Alaska Pacific University,Yes,193,146,55,16,44,249,869,7560,4120,800,1500,76.0,72,11.9,2,10922,15,-2.1530495876645794,-2.28760817896045,-2.659212451741713,-0.5849046607537626,-2.588900938355175,0.6254175275588524,-0.6567761844143083,1.5536080293455437,0.45655088685874945,0.11563079124223473,-0.6870519494859656,-0.5155706927336406,1.0986122886681098,0.6370436045066589,0.7564766839378239,Medium,1,1,-2.153049587664579,-2.2876081789604497,-2.6592124517417144,-0.5849046607537627,-2.5889009383551747,0.6254175275588526,-0.6567761844143086,1.5536080293455452,0.45655088685874884,0.11563079124223467,-0.6870519494859656,-0.5155706927336401,-3.1179783991407715,0.6370436045066186,0.06495494735718245,0.001818927581047415,0.6125530498969481
Albertson College,Yes,587,479,158,38,62,678,41,13500,3335,500,675,75.0,73,9.4,11,9727,55,-0.9831669114228417,-0.9481727218976559,-1.2145441681286067,0.7690207208177235,-1.155099050864925,-1.1985700260580425,0.817596785733177,-0.22919460362735344,-1.169758864790823,0.045592781487855547,-0.6232192944825511,-1.22018114926161,2.4849066497880004,0.3648514210769267,0.8160136286201022,High,2,1,-0.9831669114228412,-0.9481727218976549,-1.214544168128608,0.7690207208177237,-1.1550990508649246,-1.1985700260580423,0.8175967857331766,-0.2291946036273518,-1.1697588647908237,0.04559278148785549,-0.6232192944825511,-1.2201811492616093,-0.8534518760234878,0.3648514210768864,0.4699427534045053,1.4151256580548508,0.6125530498969481
Albertus Magnus College,Yes,353,340,103,17,45,416,230,13290,5720,500,1500,90.0,93,11.5,26,8861,63,-1.5063000160279125,-1.3233585876454554,-1.7722654573757635,-0.49946894118390567,-1.81506551206156,-0.2364992154928755,0.7737527961030578,-0.22919460362735344,0.45655088685874945,1.1927597836517578,0.9692990979140862,-0.6241261617099947,3.295836866004329,0.13304593063730474,0.9631728045325779,High,2,1,-1.5063000160279119,-1.3233585876454546,-1.7722654573757648,-0.4994689411839057,-1.8150655120615595,-0.23649921549287525,0.7737527961030575,-0.2291946036273518,0.45655088685874884,1.1927597836517578,0.9692990979140862,-0.6241261617099941,0.47121122188858366,0.13304593063726444,1.4709627437747088,1.4151256580548508,0.6125530498969481
Albion College,Yes,1899,1720,489,37,68,1594,32,13868,4826,450,850,89.0,100,13.7,37,11487,73,0.15310561817763538,0.375271178056192,0.09364363595121389,0.7226458157909567,-0.15706162447411606,-1.323847012672887,0.893359908024116,-0.6142542982610626,-0.7100928488284425,1.109844838622803,1.6789026453905742,-0.043655143285563025,3.6375861597263857,0.7502823344555288,0.9057398630858347,High,2,1,0.153105618177636,0.3752711780561931,0.09364363595121263,0.7226458157909568,-0.1570616244741155,-1.3238470126728867,0.8933599080241157,-0.6142542982610609,-0.7100928488284431,1.109844838622803,1.6789026453905742,-0.04365514328556244,1.0294623131395182,0.7502823344554885,1.0802869864699451,1.4151256580548508,0.6125530498969481
Albright College,Yes,1038,839,227,30,63,973,306,15595,4400,300,500,79.0,84,11.3,23,11644,80,-0.4193589015912839,-0.35347415993484516,-0.7700207147094392,0.36877700770497285,-0.7104745655794538,-0.06079782059427027,1.2322935057020183,-2.0483080496073764,-1.7565250578392297,0.33126661926272183,0.17590711389826053,-0.6789541283407586,3.1780538303479458,0.7802351502105344,0.8082851637764933,High,2,1,-0.4193589015912833,-0.35347415993484416,-0.7700207147094404,0.3687770077049729,-0.7104745655794532,-0.06079782059427003,1.2322935057020181,-2.0483080496073747,-1.7565250578392304,0.3312666192627218,0.17590711389826055,-0.6789541283407581,0.2788113855351543,0.780235150210494,0.4173714627910875,1.4151256580548508,0.6125530498969481
Alderson-Broaddus College,Yes,582,498,172,21,44,799,78,10468,3380,660,1800,40.0,41,11.5,15,8991,52,-0.9918073458047851,-0.9061519216966294,-1.108165119052506,-0.19109950858549485,-0.9486144612853746,-0.8587961830100914,0.13456411411234906,0.8108421981673638,0.8415717373866589,-1.8250644124713284,-2.0259049331637793,-0.6241261617099947,2.772588722239781,0.17002953770072846,0.8556701030927835,Medium,1,1,-0.9918073458047846,-0.9061519216966284,-1.1081651190525073,-0.19109950858549488,-0.9486144612853741,-0.8587961830100912,0.13456411411234875,0.8108421981673655,0.8415717373866582,-1.8250644124713284,-2.0259049331637793,-0.6241261617099941,-0.3835201634208818,0.17002953770068815,0.7396977547397244,0.001818927581047415,0.6125530498969481
